id,plate_number,type,category,note
1,123가4567,신형,비사업용,일반
2,234나5678,신형,비사업용,일반
3,345다6789,신형,비사업용,일반
4,456라7890,신형,비사업용,일반
5,567마1234,신형,비사업용,일반
6,678거2345,신형,비사업용,일반
7,189너3456,신형,비사업용,일반
8,290더4567,신형,비사업용,일반
9,301러5678,신형,비사업용,일반
10,412머6789,신형,비사업용,일반
11,523버7890,신형,비사업용,일반
12,634서1234,신형,비사업용,일반
13,145어2345,신형,비사업용,일반
14,256저3456,신형,비사업용,일반
15,367고4567,신형,비사업용,일반
16,478노5678,신형,비사업용,일반
17,589도6789,신형,비사업용,일반
18,690로7890,신형,비사업용,일반
19,101모1234,신형,비사업용,일반
20,212보2345,신형,비사업용,일반
21,323소3456,신형,비사업용,일반
22,434오4567,신형,비사업용,일반
23,545조5678,신형,비사업용,일반
24,656구6789,신형,비사업용,일반
25,167누7890,신형,비사업용,일반
26,278두1234,신형,비사업용,일반
27,389루2345,신형,비사업용,일반
28,490무3456,신형,비사업용,일반
29,501부4567,신형,비사업용,일반
30,612수5678,신형,비사업용,일반
31,123우6789,신형,비사업용,일반
32,234주7890,신형,비사업용,일반
33,345허1234,신형,비사업용,일반
34,700가1234,신형,비사업용,전기차
35,701나2345,신형,비사업용,전기차
36,702다3456,신형,비사업용,전기차
37,710라4567,신형,비사업용,전기차
38,720마5678,신형,비사업용,전기차
39,730거6789,신형,비사업용,전기차
40,740너7890,신형,비사업용,전기차
41,750더1234,신형,비사업용,전기차
42,760러2345,신형,비사업용,전기차
43,770머3456,신형,비사업용,전기차
44,111바1234,신형,사업용,영업
45,222사2345,신형,사업용,영업
46,333아3456,신형,사업용,영업
47,444자4567,신형,사업용,영업
48,555배5678,신형,사업용,영업
49,666영6789,신형,사업용,영업
50,800아1234,신형,사업용,택시
51,810바2345,신형,사업용,택시
52,820사3456,신형,사업용,택시
53,830자4567,신형,사업용,택시
54,135가8521,신형,비사업용,일반
55,246나9632,신형,비사업용,일반
56,357다7410,신형,비사업용,일반
57,468라8523,신형,비사업용,일반
58,579마9634,신형,비사업용,일반
59,680거7412,신형,비사업용,일반
60,191너8524,신형,비사업용,일반
61,202더9635,신형,비사업용,일반
62,313러7413,신형,비사업용,일반
63,424머8526,신형,비사업용,일반
64,535버9637,신형,비사업용,일반
65,646서7414,신형,비사업용,일반
66,157어8527,신형,비사업용,일반
67,268저9638,신형,비사업용,일반
68,379고7415,신형,비사업용,일반
69,480노8528,신형,비사업용,일반
70,591도9639,신형,비사업용,일반
71,12가3456,구형,비사업용,구형
72,23나4567,구형,비사업용,구형
73,34다5678,구형,비사업용,구형
74,45라6789,구형,비사업용,구형
75,56마7890,구형,비사업용,구형
76,67거1234,구형,비사업용,구형
77,78너2345,구형,비사업용,구형
78,89더3456,구형,비사업용,구형
79,90러4567,구형,비사업용,구형
80,11머5678,구형,비사업용,구형
81,22버6789,구형,비사업용,구형
82,33서7890,구형,비사업용,구형
83,44어1234,구형,비사업용,구형
84,55저2345,구형,비사업용,구형
85,66고3456,구형,비사업용,구형
86,77노4567,구형,비사업용,구형
87,88도5678,구형,비사업용,구형
88,99로6789,구형,비사업용,구형
89,10모7890,구형,비사업용,구형
90,21보1234,구형,비사업용,구형
91,32소2345,구형,비사업용,구형
92,43오3456,구형,비사업용,구형
93,54조4567,구형,비사업용,구형
94,65구5678,구형,비사업용,구형
95,76누6789,구형,비사업용,구형
96,87두7890,구형,비사업용,구형
97,98루1234,구형,비사업용,구형
98,19무2345,구형,비사업용,구형
99,28부3456,구형,비사업용,구형
100,37수4567,구형,비사업용,구형
