번호,시도,시군구,골프장명,운영사,소재지주소,홀수,구분,전화,홈페이지,세그먼트,비고
1,경기,가평군,가평 베네스트G.C,삼성물산㈜,경기도 가평군 상면 둔덕말길 232,27,회원제,1577-9727,https://benestgolf.com/,,
2,경기,가평군,리앤리C.C,리앤리어드바이저스㈜,경기도 가평군 조종면 운악청계로 702-24,27,대중제,031-580-9000,https://www.leenleecc.co.kr/,,
3,경기,가평군,마이다스밸리 청평 골프클럽,(주)대교디앤에스,경기도 가평군 설악면 다락재로 73-111,18,회원제,031-589-9000,https://www.midasgolf.co.kr/,,
4,경기,가평군,베뉴지CC,부국관광㈜,경기도 가평군 가평읍 용추로 171번길 100,27,대중제,031-582-5999,,,
5,경기,가평군,썬힐G.C,(주)다함레져,경기도 가평군 조종면 운악청계로 809,36,대중제,031-585-7900,,,
6,경기,가평군,아난티클럽서울,아난티클럽서울㈜,경기도 가평군 설악면 유명로 961-34,27,회원제,031-589-3000,https://ananti.kr/ko/chord,,
7,경기,가평군,크리스탈밸리C.C,㈜한송,경기도 가평군 상면 대보간선로 602-111,18,회원제,031-589-5000,https://www.crystalvalley.co.kr/,,
8,경기,가평군,프리스틴밸리 골프클럽,(주)평산투자개발,경기도 가평군 설악면 유명로 1243-199,18,회원제,031-589-2000,https://www.pristinevalley.co.kr/,,
9,경기,고양시,1·2·3 골프장,㈜123골프클럽,경기도 고양시 덕양구 통일로 43-168,6,대중제,02-359-0123,http://123golfclub.co.kr/,,
10,경기,고양시,고양컨트리클럽,고양컨트리클럽㈜,경기도 고양시 덕양구 흥도로 304-23,9,대중제,031-960-7700,http://www.goyangcc.com/,,
11,경기,고양시,뉴코리아 컨트리클럽,신고려관광㈜,경기도 고양시 덕양구 신원2로 57,18,회원제,02-353-0091,https://www.newkoreacc.co.kr/,,
12,경기,고양시,올림픽 골프장,㈜올림픽컨트리클럽,경기도 고양시 덕양구 혜음로 301,9,대중제,031-962-0101,http://www.olympicgolf.co.kr,,
13,경기,고양시,일산스프링힐스 컨트리클럽,고양스포츠,경기도 고양시 일산동구 산황로 108,9,대중제,031-969-2000,https://www.springhills.co.kr/,,
14,경기,고양시,한양컨트리클럽,㈜한양컨트리클럽,경기도 고양시 덕양구 고양대로1643번길 164,36,회원제,031-960-6900,https://www.hanyangcc.com/,,
15,경기,고양시,한양파인컨트리클럽,(사)서울컨트리클럽,경기도 고양시 덕양구 고양대로 1591,9,대중제,031-930-9100,https://www.hypine.co.kr/,,
